type,name,notice,furigana
燃やすごみ,お茶がら,,生ごみ類
燃やすごみ,食べ残し,,生ごみ類
燃やすごみ,調理くず,,生ごみ類
燃やすごみ,おもちゃ,,プラスチック製容器包装に当たらないプラスチック製品
燃やすごみ,バケツ,,プラスチック製容器包装に当たらないプラスチック製品
燃やすごみ,CD,,プラスチック製容器包装に当たらないプラスチック製品
燃やすごみ,ビデオのケース,,プラスチック製容器包装に当たらないプラスチック製品
燃やすごみ,ボールペン,,プラスチック製容器包装に当たらないプラスチック製品
燃やすごみ,歯ブラシ,,プラスチック製容器包装に当たらないプラスチック製品
燃やすごみ,菓子箱,,紙類
燃やすごみ,台紙,,紙類
燃やすごみ,包装紙,,紙類
燃やすごみ,コップ,,ガラス類
燃やすごみ,化粧品のびん,,ガラス類
燃やすごみ,電球,,ガラス類
缶 びん ペットボトル,飲料缶,,飲料缶・食品缶
缶 びん ペットボトル,缶詰,,飲料缶・食品缶
缶 びん ペットボトル,菓子缶,,飲料缶・食品缶
缶 びん ペットボトル,サラダ油缶,,飲料缶・食品缶
缶 びん ペットボトル,ワイン,,飲料びん・食品びん
缶 びん ペットボトル,ジュース,,飲料びん・食品びん
缶 びん ペットボトル,調味料,,飲料びん・食品びん
缶 びん ペットボトル,ジャムなどのガラスびん,,飲料びん・食品びん
缶 びん ペットボトル,ペットボトル,,PETマークがついている、飲料・しょうゆ用ペットボトル
プラスチック製容器包装,サラダ油、マヨネーズ、ソースの容器,
プラスチック製容器包装,洗剤、シャンプーの容器,
プラスチック製容器包装,インスタント食品のカップ,
プラスチック製容器包装,発泡スチロール,
小型金属類,鍋,,小型金属類
小型金属類,やかん,,小型金属類
小型金属類,フライパン,,小型金属類
小型金属類,おたま,,最長部分が概ね30ｃｍ以下の小型金属類
小型金属類,おたま,,最長部分が概ね30ｃｍ以下の小型金属類
小型金属類,おたま,,最長部分が概ね30ｃｍ以下の小型金属類
小型金属類,おたま,,最長部分が概ね30ｃｍ以下の小型金属類

